"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2025";"0000";"16,0";"19,6";"15,9";"72,0";"72,0";"56,0";"10,9";"11,0";"10,2";"891,2";"891,2";"890,8";"1,0";"131,0";"2,9";"";"0,0"
"01/07/2025";"0100";"19,1";"19,8";"15,9";"56,0";"72,0";"54,0";"10,1";"11,0";"9,9";"891,7";"891,7";"891,2";"1,6";"114,0";"3,8";"";"0,0"
"01/07/2025";"0200";"18,0";"19,1";"17,3";"61,0";"63,0";"56,0";"10,4";"10,5";"9,8";"891,7";"891,8";"891,7";"1,9";"123,0";"3,9";"";"0,0"
"01/07/2025";"0300";"17,7";"18,2";"17,6";"60,0";"61,0";"58,0";"9,8";"10,4";"9,7";"891,4";"891,7";"891,4";"1,5";"103,0";"3,3";"";"0,0"
"01/07/2025";"0400";"17,7";"18,3";"17,7";"59,0";"60,0";"57,0";"9,6";"9,7";"9,5";"891,1";"891,5";"891,1";"1,5";"113,0";"3,3";"";"0,0"
"01/07/2025";"0500";"13,4";"17,7";"13,2";"79,0";"80,0";"59,0";"9,9";"10,0";"9,1";"890,7";"891,1";"890,7";"0,7";"125,0";"2,3";"";"0,0"
"01/07/2025";"0600";"12,5";"13,4";"12,3";"83,0";"84,0";"79,0";"9,7";"10,0";"9,4";"890,3";"890,7";"890,3";"1,1";"141,0";"1,8";"";"0,0"
"01/07/2025";"0700";"11,9";"13,5";"11,8";"87,0";"87,0";"79,0";"9,8";"10,6";"9,4";"890,4";"890,4";"890,1";"0,7";"176,0";"1,8";"";"0,0"
"01/07/2025";"0800";"12,0";"13,1";"11,9";"85,0";"88,0";"81,0";"9,6";"10,4";"9,4";"890,3";"890,5";"890,3";"1,3";"134,0";"2,1";"";"0,0"
"01/07/2025";"0900";"14,0";"14,0";"11,9";"77,0";"86,0";"77,0";"10,1";"10,1";"9,3";"890,6";"890,6";"890,3";"2,0";"136,0";"2,7";"";"0,0"
"01/07/2025";"1000";"12,2";"14,3";"12,1";"83,0";"83,0";"75,0";"9,4";"10,1";"9,1";"891,3";"891,3";"890,6";"1,6";"142,0";"2,7";"2,70";"0,0"
"01/07/2025";"1100";"16,5";"16,5";"12,0";"64,0";"83,0";"64,0";"9,7";"10,3";"9,1";"892,0";"892,0";"891,3";"2,0";"131,0";"2,9";"369,90";"0,0"
"01/07/2025";"1200";"19,3";"19,3";"16,5";"52,0";"65,0";"51,0";"9,2";"10,2";"9,0";"892,5";"892,5";"892,0";"2,6";"120,0";"4,6";"1191,10";"0,0"
"01/07/2025";"1300";"20,8";"21,2";"19,3";"51,0";"53,0";"49,0";"10,2";"10,7";"8,7";"892,9";"892,9";"892,5";"3,3";"106,0";"7,0";"1907,10";"0,0"
"01/07/2025";"1400";"22,8";"22,8";"20,7";"45,0";"51,0";"43,0";"10,2";"10,6";"8,9";"892,8";"892,9";"892,8";"2,9";"70,0";"7,0";"2443,30";"0,0"
"01/07/2025";"1500";"23,5";"24,0";"22,1";"37,0";"46,0";"35,0";"8,0";"10,3";"6,9";"892,4";"892,8";"892,4";"3,5";"101,0";"9,3";"2766,60";"0,0"
"01/07/2025";"1600";"23,9";"24,6";"23,4";"34,0";"37,0";"34,0";"7,2";"8,2";"6,9";"891,8";"892,4";"891,8";"3,4";"86,0";"6,7";"2824,80";"0,0"
"01/07/2025";"1700";"25,0";"25,3";"23,6";"35,0";"36,0";"33,0";"8,4";"8,4";"7,2";"890,8";"891,8";"890,8";"3,5";"71,0";"6,8";"2634,60";"0,0"
"01/07/2025";"1800";"25,1";"25,8";"24,8";"34,0";"35,0";"32,0";"8,1";"8,7";"7,5";"890,3";"890,8";"890,3";"2,5";"101,0";"6,2";"2253,00";"0,0"
