pct_missing,method,model,f1,recall,precision,accuracy,auc
0,original_dropna,logreg,0.6709,0.6571,0.6938,0.6693,0.7495
5,empty,logreg,0.6596,0.6383,0.705,0.6679,0.7441
5,knn_5,logreg,0.6595,0.6351,0.7014,0.6675,0.7444
5,mean,logreg,0.6569,0.6331,0.697,0.6647,0.7429
5,median,logreg,0.6563,0.63,0.7005,0.6663,0.7432
5,mice,logreg,0.6565,0.6314,0.6969,0.6657,0.7415
10,empty,logreg,0.6736,0.6583,0.7188,0.6822,0.7576
10,knn_5,logreg,0.6487,0.6289,0.688,0.6557,0.7375
10,mean,logreg,0.646,0.6291,0.6807,0.6517,0.7335
10,median,logreg,0.6377,0.614,0.6823,0.6486,0.7337
10,mice,logreg,0.6409,0.6217,0.6773,0.6483,0.7279
15,empty,logreg,0.643,0.6298,0.6916,0.6646,0.7382
15,knn_5,logreg,0.65,0.6266,0.6902,0.6587,0.7295
15,mean,logreg,0.6423,0.6217,0.6789,0.6494,0.7244
15,median,logreg,0.6335,0.6057,0.6811,0.6468,0.724
15,mice,logreg,0.6416,0.622,0.6748,0.6474,0.7203
20,empty,logreg,0.6315,0.6405,0.6724,0.6613,0.7483
20,knn_5,logreg,0.6398,0.6246,0.6751,0.6465,0.7223
20,mean,logreg,0.6346,0.6191,0.6679,0.6411,0.7169
20,median,logreg,0.6268,0.6034,0.6719,0.6393,0.7164
20,mice,logreg,0.6321,0.6197,0.6628,0.6363,0.7088
